,type,geometry-type,geometry-coordinates-0,geometry-coordinates-1,properties-jaar,properties-klooster_id,properties-orde,properties-regel,properties-orde_en,properties-symbol,properties-idL,properties-ST,properties-KR,properties-TI,properties-TIE
0,Feature,Point,3.524182,51.535857,1518,A01,cisterciënzerinnen,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_0.svg,A01,cisterciënzerinnen,regel van Benedictus,"Aagtekerke, Cisterciënzerinnen: Waterlooze Werve","Aagtekerke, Cistercian Nuns:  Onze Lieve Vrouwe-kamer"
1,Feature,Point,6.624844019,51.95911319,1518,A02,regulieren van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_m_1.svg,A02,regulieren van Windesheim,regel van Augustinus,"Aalten, Regulieren: Nazareth","Aalten, Canons Regular: Nazareth"
2,Feature,Point,3.445223883,51.26955265,1518,A04,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,A04,tertiarissen,derde regel van Franciscus,"Aardenburg, Tertiarissen","Aardenburg, Tertiaries"
3,Feature,Point,3.443206688,51.27369178,1518,A05,hospitaalzusters*,onbekend,s,http://geoplaza.vu.nl/projects/kloosters/svg/starSix_f_5.svg,A05,hospitaalzusters,onbekend,"Aardenburg, Hospitaalzusters Sint-Janshospitaal","Aardenburg, Hospital Sisters: Sint-Janshospitaal"
4,Feature,Point,5.806944444,53.07138889,1518,A07,tertianen en tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_d_2.svg,A07,tertianen en tertiarissen,derde regel van Franciscus,"Akkrum, Tertiarissen en tertianen: Aalsum","Akkrum, Male and Female Tertiaries: Aalsum"
5,Feature,Point,4.742157109,52.63259931,1518,A08,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,A08,tertiarissen,derde regel van Franciscus,"Alkmaar, Tertiarissen: Oude Hof","Alkmaar, Tertiaries: Oude Hof"
6,Feature,Point,4.745575551,52.63310337,1518,A09,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,A09,tertiarissen,derde regel van Franciscus,"Alkmaar, Tertiarissen: Jonge Hof","Alkmaar, Tertiaries: Jonge Hof"
7,Feature,Point,4.747971291,52.63209948,1518,A10,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,A10,regularissen,regel van Augustinus,"Alkmaar, Regularissen: Witte Hof","Alkmaar, Canonesses Regular: Witte Hof"
8,Feature,Point,4.745589313,52.63405625,1518,A11,observante franciscanen,regel van Franciscus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_m_2.svg,A11,observante franciscanen,regel van Franciscus,"Alkmaar, Franciscanen","Alkmaar, Friars Minor"
9,Feature,Point,4.743408277,52.63326698,1518,A12,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,A12,tertiarissen,derde regel van Franciscus,"Alkmaar, Tertiarissen: Middelhof","Alkmaar, Tertiaries: Middelhof"
